Participant,Trial,Condition,Time,TargetDistance,Duration,Mis-Clicks,Target Location
1,124,halo,2018-03-19T20:04:10.073Z,293.92559692563594,985,0,Grid Item
1,125,halo,2018-03-19T20:04:11.985Z,499.0125264955807,1144,0,List Item
1,126,halo,2018-03-19T20:04:13.921Z,448.3315964211117,1052,0,Toolbar Item
1,127,halo,2018-03-19T20:04:15.983Z,373.9121752924401,1280,0,List Item
1,128,halo,2018-03-19T20:04:17.460Z,501.86935119604306,895,0,Toolbar Item
1,129,halo,2018-03-19T20:04:19.065Z,380.4403400909866,925,0,List Item
1,130,halo,2018-03-19T20:04:20.880Z,434.8845559903866,1209,0,List Item
1,131,halo,2018-03-19T20:04:22.498Z,338.0656964222004,881,0,List Item
1,132,halo,2018-03-19T20:04:23.861Z,334.91943959472985,864,0,Grid Item
1,133,halo,2018-03-19T20:04:25.455Z,615.1263442085461,992,0,Grid Item
1,134,halo,2018-03-19T20:04:27.636Z,576.5127125727149,1245,0,Grid Item
1,135,halo,2018-03-19T20:04:29.573Z,122.20988307420708,1123,0,Grid Item
1,136,halo,2018-03-19T20:04:30.718Z,64.72387672943687,636,0,Grid Item
1,137,halo,2018-03-19T20:04:32.320Z,555.1751374202648,1044,0,Grid Item
1,138,halo,2018-03-19T20:04:34.046Z,570.2009362175279,866,0,Grid Item
1,139,halo,2018-03-19T20:04:35.915Z,362.2099735284455,947,0,List Item
1,140,halo,2018-03-19T20:04:37.276Z,156.63418285853624,697,0,Toolbar Item
1,141,halo,2018-03-19T20:04:38.746Z,639.7250644324682,1029,0,Grid Item
1,142,halo,2018-03-19T20:04:40.657Z,340.71159370980047,1082,0,List Item
1,143,halo,2018-03-19T20:04:42.462Z,400.13625131963795,1162,0,Grid Item
1,144,halo,2018-03-19T20:04:44.075Z,694.663486458088,977,0,Toolbar Item
1,145,halo,2018-03-19T20:04:46.158Z,441.85088197448084,1110,0,List Item
1,146,halo,2018-03-19T20:04:47.789Z,291.9745757602811,976,0,List Item
1,147,halo,2018-03-19T20:04:50.328Z,301.7231405249082,1959,2,Toolbar Item
1,148,halo,2018-03-19T20:04:51.957Z,349.3311570136757,863,0,Toolbar Item
1,149,halo,2018-03-19T20:04:53.261Z,115.13358740076319,682,0,Grid Item
1,150,halo,2018-03-19T20:04:55.173Z,506.1365691099067,1286,0,List Item
1,151,halo,2018-03-19T20:04:56.854Z,304.5266866236555,946,0,List Item
1,152,halo,2018-03-19T20:04:58.162Z,159.7596027586425,773,0,Grid Item
1,153,halo,2018-03-19T20:04:59.563Z,338.2092585605324,874,0,List Item
1,154,halo,2018-03-19T20:05:01.343Z,754.831543990199,1207,0,Toolbar Item
1,155,halo,2018-03-19T20:05:03.179Z,569.1726902646989,1208,0,List Item
1,156,halo,2018-03-19T20:05:04.897Z,614.268790017979,985,0,Toolbar Item
1,157,halo,2018-03-19T20:05:06.291Z,252.04621163237712,822,0,Grid Item
1,158,halo,2018-03-19T20:05:07.939Z,547.9395281683118,969,0,List Item
1,159,halo,2018-03-19T20:05:09.583Z,345.7061897777504,952,0,Toolbar Item
1,160,halo,2018-03-19T20:05:11.369Z,509.17401396353955,1105,0,List Item
1,161,halo,2018-03-19T20:05:13.188Z,294.5544839099727,756,0,Grid Item
1,162,halo,2018-03-19T20:05:14.683Z,407.5044566059392,891,0,Grid Item
1,163,halo,2018-03-19T20:05:16.149Z,107.1973906430759,683,0,Toolbar Item
1,164,halo,2018-03-19T20:05:17.593Z,303.6243615506128,904,0,List Item
1,165,halo,2018-03-19T20:05:18.932Z,245.1168955683334,851,0,Grid Item
1,166,halo,2018-03-19T20:05:20.419Z,334.4364890305537,845,0,List Item
1,167,halo,2018-03-19T20:05:21.970Z,673.264524995976,1000,0,Grid Item
1,168,halo,2018-03-19T20:05:23.576Z,404.430914616634,830,0,List Item
1,169,halo,2018-03-19T20:05:25.182Z,372.6575034542476,1067,0,List Item
1,170,halo,2018-03-19T20:05:27.079Z,417.70548002069825,968,0,Grid Item
1,171,halo,2018-03-19T20:05:28.725Z,295.06637464878906,984,0,List Item
1,172,halo,2018-03-19T20:05:30.178Z,182.43123118342223,904,0,Toolbar Item
1,173,halo,2018-03-19T20:05:31.686Z,273.7668545158179,983,0,List Item
1,174,halo,2018-03-19T20:05:33.235Z,413.6317412739229,1092,0,Grid Item
1,175,halo,2018-03-19T20:05:35.333Z,524.904498147105,1201,0,Grid Item
1,176,halo,2018-03-19T20:05:37.611Z,263.4833798119894,1540,0,Toolbar Item
1,177,halo,2018-03-19T20:05:39.529Z,513.8208182178142,1277,0,Toolbar Item
1,178,halo,2018-03-19T20:05:41.093Z,355.5325509112514,945,0,Toolbar Item
1,179,halo,2018-03-19T20:05:42.494Z,396.84049344840264,796,0,List Item
1,180,halo,2018-03-19T20:05:44.230Z,591.1541959838706,1101,0,Grid Item
1,181,fixHalo,2018-03-19T20:05:59.938Z,609.8325355018234,1136,0,Toolbar Item
1,182,fixHalo,2018-03-19T20:06:01.587Z,434.95014862336916,913,0,Grid Item
1,183,fixHalo,2018-03-19T20:06:03.407Z,572.1853339288735,805,0,Grid Item
1,184,fixHalo,2018-03-19T20:06:05.421Z,352.72248658037665,1278,1,List Item
1,185,fixHalo,2018-03-19T20:06:07.735Z,511.05897562109357,1364,0,List Item
1,186,fixHalo,2018-03-19T20:06:09.447Z,350.19718054143516,978,0,List Item
1,187,fixHalo,2018-03-19T20:06:10.801Z,286.83223637539754,852,0,Toolbar Item
1,188,fixHalo,2018-03-19T20:06:12.289Z,142.36969765693945,815,0,Toolbar Item
1,189,fixHalo,2018-03-19T20:06:13.968Z,328.9110102513537,953,0,List Item
1,190,fixHalo,2018-03-19T20:06:15.291Z,346.3081395624956,844,0,List Item
1,191,fixHalo,2018-03-19T20:06:16.700Z,354.4624363338713,935,0,Grid Item
1,192,fixHalo,2018-03-19T20:06:18.296Z,676.9076537403578,993,0,Toolbar Item
1,193,fixHalo,2018-03-19T20:06:19.713Z,450.93543887359283,758,0,Grid Item
1,194,fixHalo,2018-03-19T20:06:21.698Z,391.2423511247394,1271,0,List Item
1,195,fixHalo,2018-03-19T20:06:23.088Z,438.8678558354843,728,0,Grid Item
1,196,fixHalo,2018-03-19T20:06:24.799Z,321.784661212914,845,0,Grid Item
1,197,fixHalo,2018-03-19T20:06:26.579Z,479.25559662091723,1262,0,List Item
1,198,fixHalo,2018-03-19T20:06:28.420Z,189.55291125417267,991,0,Toolbar Item
1,199,fixHalo,2018-03-19T20:06:30.310Z,331.741093642061,915,0,Toolbar Item
1,200,fixHalo,2018-03-19T20:06:31.896Z,381.8344569149883,889,0,List Item
1,201,fixHalo,2018-03-19T20:06:33.518Z,711.5377955401899,1017,0,Toolbar Item
1,202,fixHalo,2018-03-19T20:06:34.907Z,650.9459148954187,789,0,Toolbar Item
1,203,fixHalo,2018-03-19T20:06:36.729Z,287.54795853565554,914,0,Toolbar Item
1,204,fixHalo,2018-03-19T20:06:38.340Z,419.0740710831613,1047,0,List Item
1,205,fixHalo,2018-03-19T20:06:40.166Z,337.9008768726768,1083,0,List Item
1,206,fixHalo,2018-03-19T20:06:41.847Z,637.2660815529814,1178,0,Grid Item
1,207,fixHalo,2018-03-19T20:06:43.713Z,384.6614291782156,754,0,List Item
1,208,fixHalo,2018-03-19T20:06:45.143Z,462.6190987289698,929,0,Grid Item
1,209,fixHalo,2018-03-19T20:06:47.002Z,710.1390951115839,1069,0,Toolbar Item
1,210,fixHalo,2018-03-19T20:06:48.782Z,457.75728484002525,905,0,Grid Item
1,211,fixHalo,2018-03-19T20:06:50.925Z,681.7099334036162,1051,0,Grid Item
1,212,fixHalo,2018-03-19T20:06:52.513Z,458.73548479238633,682,0,Grid Item
1,213,fixHalo,2018-03-19T20:06:53.948Z,751.8645376269952,883,0,Grid Item
1,214,fixHalo,2018-03-19T20:06:55.464Z,374.9337526490561,790,0,Grid Item
1,215,fixHalo,2018-03-19T20:06:56.834Z,331.98116602560214,803,0,Toolbar Item
1,216,fixHalo,2018-03-19T20:06:58.103Z,546.7834637514845,767,0,Grid Item
1,217,fixHalo,2018-03-19T20:06:59.744Z,317.8941692331156,844,0,List Item
1,218,fixHalo,2018-03-19T20:07:01.362Z,492.49728620255905,1146,0,List Item
1,219,fixHalo,2018-03-19T20:07:02.748Z,504.67324292073624,697,0,Grid Item
1,220,fixHalo,2018-03-19T20:07:04.536Z,315.73736234852436,1090,0,Toolbar Item
1,221,fixHalo,2018-03-19T20:07:06.078Z,352.50401069740263,929,0,List Item
1,222,fixHalo,2018-03-19T20:07:07.443Z,473.9434254491822,801,0,Toolbar Item
1,223,fixHalo,2018-03-19T20:07:08.918Z,394.1927725975641,810,0,Grid Item
1,224,fixHalo,2018-03-19T20:07:10.249Z,385.3941544629403,726,0,Grid Item
1,225,fixHalo,2018-03-19T20:07:11.852Z,589.5924404465175,998,0,Grid Item
1,226,fixHalo,2018-03-19T20:07:13.285Z,580.0147374724163,875,0,Grid Item
1,227,fixHalo,2018-03-19T20:07:15.281Z,565.7621640413553,1430,0,List Item
1,228,fixHalo,2018-03-19T20:07:17.311Z,149.13930030805957,977,0,Toolbar Item
1,229,fixHalo,2018-03-19T20:07:18.706Z,406.19038284811893,916,0,List Item
1,230,fixHalo,2018-03-19T20:07:20.168Z,312.3627989054233,806,0,Grid Item
1,231,fixHalo,2018-03-19T20:07:21.741Z,695.7302691664805,999,0,Grid Item
1,232,fixHalo,2018-03-19T20:07:23.558Z,400.85869037457445,986,0,List Item
1,233,fixHalo,2018-03-19T20:07:25.114Z,335.55100597775913,1051,0,List Item
1,234,fixHalo,2018-03-19T20:07:26.587Z,568.730919323129,1000,0,Toolbar Item
1,235,fixHalo,2018-03-19T20:07:28.181Z,329.87259329625834,845,0,List Item
1,236,fixHalo,2018-03-19T20:07:29.397Z,448.6392151130967,745,0,Toolbar Item
1,237,fixHalo,2018-03-19T20:07:30.790Z,296.1720207971905,811,0,Toolbar Item
1,238,fixHalo,2018-03-19T20:07:32.315Z,197.19677321113403,845,0,Grid Item
1,239,fixHalo,2018-03-19T20:07:33.818Z,484.59104617990516,814,0,Grid Item
1,240,fixHalo,2018-03-19T20:07:35.513Z,122.79716159541022,899,0,Toolbar Item
1,241,normal,2018-03-19T20:07:51.246Z,561.762201164986,1393,0,Grid Item
1,242,normal,2018-03-19T20:07:54.475Z,194.7443996823962,2355,3,Toolbar Item
1,243,normal,2018-03-19T20:07:56.147Z,280.42275034690863,735,0,Grid Item
1,244,normal,2018-03-19T20:07:57.889Z,281.5404557267582,922,0,List Item
1,245,normal,2018-03-19T20:07:59.676Z,433.9724525608513,1261,0,List Item
1,246,normal,2018-03-19T20:08:01.291Z,337.1459848228488,857,0,List Item
1,247,normal,2018-03-19T20:08:03.081Z,199.46955665402567,993,0,Toolbar Item
1,248,normal,2018-03-19T20:08:04.731Z,381.8469618738004,1075,0,List Item
1,249,normal,2018-03-19T20:08:06.574Z,331.923677400076,1068,0,List Item
1,250,normal,2018-03-19T20:08:08.232Z,409.5524412831964,1068,0,List Item
1,251,normal,2018-03-19T20:08:10.011Z,251.2979137932146,1030,0,Toolbar Item
1,252,normal,2018-03-19T20:08:11.390Z,75.02103198603473,838,0,Toolbar Item
1,253,normal,2018-03-19T20:08:12.822Z,586.9695442243483,916,0,Grid Item
1,254,normal,2018-03-19T20:08:14.530Z,300.0932404853542,906,0,List Item
1,255,normal,2018-03-19T20:08:16.235Z,492.6477461179968,1179,0,List Item
1,256,normal,2018-03-19T20:08:18.355Z,384.9014581544154,1279,0,Toolbar Item
1,257,normal,2018-03-19T20:08:19.937Z,337.0226291976903,930,0,List Item
1,258,normal,2018-03-19T20:08:21.203Z,234.19282903418667,712,0,Grid Item
1,259,normal,2018-03-19T20:08:23.737Z,522.5635742910106,1984,1,List Item
1,260,normal,2018-03-19T20:08:25.631Z,152.01596827829482,1121,0,Toolbar Item
1,261,normal,2018-03-19T20:08:27.544Z,339.0230128221943,1167,0,Toolbar Item
